City,Place,Ratings,Distance,Place_desc,Predicted_Types,latitude,longitude,Categories,votes,Place_Name
Manali,1. capture the sceneries of old manali,3.9, 2 km  from city center ," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. ",house river guesthouse,32.253028,77.1759099,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",,old manali
Manali,2. engage in the adventures of solang valley,4.6, 8 km  from city center ," Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners.  ",skiing adventure inn ski venture,32.2826232,77.1652699,"Adventure, Adventure and Trekking, Adventure Sports",,solang valley 
Manali,3. jogini waterfall,4.6, 4 km  from city center , Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.  ,waterfall trek temple,32.2747435,77.1855986,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",, jogini waterfall 
Manali,4. hadimba temple,4.4, 1 km  from city center ," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. ",rat temple festival,32.2483526,77.1815727,"Beach Holidays, Offbeat and Eco-Tourism, Scenic",38693.0,hadimba temple 
Manali,5. rohtang pass,4.4, 16 km  from city center ," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.Â  ",dream skiing adventure mount sledge ski venture desert mountain,32.371725,77.2468365,"Adventure, Adventure and Trekking, Adventure Sports",9023.0, rohtang pass 
Manali,6. parvati valley,, 6 out of 50  places to visit in Manali ," Parvati Valley is famous for the backpacker hangouts, and adventure activities. It is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience. Kasol, Malana, Tosh, Kalga, Pulga, Rasol, Kheerganga and Chalal are some of the vilages located in Parvati Valley. ",adventure spiritual venture ritual,31.9680313,77.3509899,"Spiritual Journeys, Wellness, Adventure Sports",,parvati valley 
Manali,7. sethan valley,4.0, 3 km  from city center ," Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding. ",skiing snowboarding snowboard villa ski,32.2355779,77.2238284,"Adventure, Adventure and Trekking, Historic Sites",,sethan valley 
Manali,8. gulp some maggi by the jana waterfall,, 11 km  from city center , Jana Waterfall is a 30 feet high watefall located near Manali in a quaint village called Jana. One has to trek to the waterfall through dense deodar and pine trees amidst snow-capped mountains. The climb is easier compared to many others in the region and can be completed by beginner level hikers too.  There's a wooden bridge laid perpendicular to the direction ofÂ Jana Falls which trekkers use to walk across. There is seating arrangement near the waterfall. ,waterfall trek mount villa falls inn hike mountain,32.0536427,77.1727699,"Scenic, Adventure, Offbeat and Eco-Tourism",863.0, jana waterfall 
Manali,9. arjun gufa,, 0 km  from city center , Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words.  ,legend adventure plain pot venture natural picnic rite,32.2102605,77.2061859,"Nature and Wildlife, Adventure Sports, Adventure and Trekking",32.0,arjun gufa 
Manali,10. peek into the history of manu temple,3.4, 2 km  from city center ," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. ",temple spiritual ritual,32.257042,77.1760523,"Spiritual Journeys, Wellness, Beach Holidays",4034.0, manu temple 
Manali,11. bathe in the hot springs of manikaran,3.4, 28 km  from city center ," Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country. ",rivers river frequent,32.133431,77.2731689,"Nature and Wildlife, Scenic, Beach Holidays",,manikaran 
